기사날짜,기사제목,네이버 뉴스 url
2023.01.01.,"카카오, 79일 만에 '비대위' 종료…경영 정상화",https://n.news.naver.com/mnews/article/003/0011621283?sid=105,"기사내용 요약2일부로 비대위 해체하고 소위원장 인사 발령남궁훈 전 대표,  미래이니셔티브센터 상근 고문 맡기로원인조사·재발방지·피해보상 등 비대위 활동 마무리SK C&C 구상권 청구 나설듯…손해배상 규모 관건[성남=뉴시스] 김금보 기자 = 남궁훈·홍은택 카카오 각자대표가 19일 경기 성남시 카카오판교아지트에서 데이터 센터 화재로 인한 대규모 먹통 사태와 관련해 대국민 사과 기자회견을 한 뒤 인사하고 있다. (공동취재사진) 2022.10.19. photo@newsis.com[서울=뉴시스]최은수 기자 = 지난해 10월15일 서비스 장애로 비상 경영에 돌입했던 카카오가 재발방지책 발표, 피해보상 등을 마무리 짓고 경영 정상화에 나선다. 1일 카카오에 따르면 오는 2일 서비스 장애 대응 비상대책위원회(비대위)를 해체하고 비대위 소위원회를 이끌어온 소위원장 등에 대한 인사 발령을 낸다. 비대위 해산과 후속 처리는 별도 TF에서 진행한다. 이는 지난해 10월15일 카카오 장애 사태 다음 날 비대위가 출범한 지 79일 만이다. 카카오는 사고 원인 조사와 재발 방지 대책, 보상 대책 등을 마련하기 위해 비대위를 꾸렸다. 장애 사태에서 책임을 지기 위해 카카오 대표직을 내려놓고 비대위 재발방지대책 소위원장을 맡았던 남궁훈 전 대표는 카카오의 미래 전략을 총괄하는 미래이니셔티브센터 내 상근 고문을 맡는다. 남궁 전 대표는 이곳에서 카카오의 미래 사업, 글로벌 사업 등에 대해 자문 역할을 할 예정이다.남궁 전 대표와 함께 재발방지대책 소위원회를 이끌었던 고우찬 카카오엔터프라이즈 CCO(최고 클라우드 책임자)는 최근 홍은택 대표 직속으로 신설된 인프라 부문을 이끈다. 인프라 부문은 IT 엔지니어링 전담 조직을 부문으로 격상한 것이다.비대위에서 제3자 입장에서 객관적으로 장애 원인을 면밀히 조사하기 위해 원인조사소위원장으로 영입됐던 이확영 그렙 대표도 본업으로 돌아간다. 장애 원인, 재발방지 대책 마련, 피해보상 등 비대위 활동이 마무리되면서 자연스럽게 비대위 해체를 결정했다고 카카오 측은 설명했다. 단, 추후 피해지원 등은 지속 진행한다는 설명이다. 카카오는 앞서 지난해 11월 연례 개발자 콘퍼런스 '이프 카카오'를 통해 서비스 장애 원인 분석, 재발방지를 위한 기술적 개선, 미래투자와 혁신 계획을 발표한 바 있다. 남궁 소위원장은 ""카카오 ESG의 최우선 과제는 ‘우리의 서비스를 안정적으로 제공하는 것’ 그 자체였다""라며"" 부족했던 데이터 이중화를 비롯해 인프라 개선을 위한 세 가지 실천과제를 제시했다. 이를 위해 인프라 하드웨어 설비부터 서비스 애플리케이션에 이르기까지 전체 시스템을 다중화하겠다는 계획을 발표했다. 아울러 카카오는 안산 데이터센터를 2024년 오픈하는 것을 목표로 총 4600억원의 예산을 투입해 시공 중이다. 이와 함께 인프라 전담조직을 신설하고 기술적 개선을 실행하기 위해 지난 5년간 투자 금액의 3배 이상 규모로 투자를 확대한다는 계획이다. BCP(비상대응계획)를 강화하고 DR(재난복구) 구조를 3중화 플러스 알파의 구조로 개선한다는 방침이다. 피해보상 방안도 예상 대비 빠르게 일단락 됐다. 카카오는 앞서 지난 11월 외부 전문가와 민간 단체가 참여하는 ‘1015 피해 지원 협의체’를 구성했고, 지난달 29일 피해보상안을 발표했다. 협의체는 피해를 접수한 소상공인 가운데 매출 손실 규모액이 30만원 이하인 경우 3만원, 30만원 초과 50만원 이하인 경우 5만원을 지원한다. 아울러 카카오는 일반 이용자 대상으로 이모티콘 총 3종을 제공할 예정이다. 내달 5일부터 사용 가능하며 영구 사용 1종과 90일 사용 2종으로 구성된다. 카카오메이커스에서 사용할 수 있는 감사 쿠폰 2종, 카카오톡의 데이터 관리 서비스 ‘톡서랍 플러스’ 1개월 이용권(300만명)도 추가로 제공할 예정이다.업계에서는 카카오가 피해 보상을 마무리하면 SK C&C를 상대로 구상권을 행사하는 소송에 돌입할 것으로 전망하고 있다. 쟁점은 화재 사고의 책임이 있는 SK C&C가 어느 범위까지 손해배상을 해야 되느냐가 될 것으로 보인다. SK C&C가 가입한 일반 배상책임보험의 보상한도는 70억원 수준에 불과한 것으로 알려졌다. 이와 관련해 카카오 관계자는 ""구상권 여부는 내부 논의해서 결정할 예정""이라고 밝혔다．"
2023.01.01.,"카카오 홍은택, 서비스 먹통 딛고 새 출발 꿈꾼다",https://n.news.naver.com/mnews/article/417/0000882798?sid=105,"[토끼띠 CEO] 홍은택 카카오 대표홍은택 대표가 지난날의 시련을 뒤로 하고 카카오의 새로운 도약을 위해 뛴다. /사진=카카오 홍은택 카카오 대표(60·사진)가 카카오 서비스 마비 사태로 흐트러진 회사를 수습하고 카카오의 새로운 도약을 위해 뛴다. 당초 카카오 공동체의 환경·사회·지배구조(ESG) 강화를 위해 대표직에 오른 만큼 계묘년인 2023년 회사의 사회적 책임 이행 수준을 높이는 데 집중할 예정이다.홍은택 대표는 1963년 12월10일 태어나 중경고등학교와 서울대학교 동양사학과를 다녔다. 대학 졸업 후 동아일보에서 기자 생활을 했고 미국 라디오 방송국 KBIA 프로듀서, 오마이뉴스 인터내셔널 편집국장을 거쳐 네이버의 전신인 NHN에 입사해 정보기술(IT) 업계와 인연을 맺었다. 카카오에는 2012년 콘텐츠 서비스 부사장으로 합류했고 카카오페이지와 공동주문 플랫폼 카카오메이커스를 선보였다. 다음카카오 콘텐츠팀장, 소셜임팩트팀장, 카카오 최고업무책임자를 거쳐 수석부사장으로 자리를 옮겼다. 특히 2018년 카카오커머스 대표로서 회사 거래액을 4배 이상 늘리는 성과를 내기도 했다. 지난해 1월 카카오임팩트 재단 이사장이자 카카오 부회장으로 승진한 뒤 그 다음달 공동체얼라인먼트센터(CAC) 공동센터장에 취임했다. 카카오의 상생 경영을 강화하고 골목대장 꼬리표를 지우라는 임무를 맡았다. 이후 같은 해 7월 대표직에 올라 기존 남궁훈 대표와 각자 대표 체제를 구축, 카카오 위기 극복에 앞장섰다.카카오는 작년 10월15일 SK C&C 판교 인터넷데이터센터(IDC) 화재로 모든 서비스가 먹통이 됐다. 피해를 입은 이용자들의 성토가 이어졌고 정치권 역시 책임을 철저히 묻겠다며 엄포를 놨다. 홍 대표가 구원투수로 나섰다. 카카오는 그해 12월7일 개발자 콘퍼런스 '이프 카카오 데브 2022'를 통해 카카오 서비스 장애 원인을 분석하고 재발방지대책을 공개했다. 데이터센터 이중화 등 기술적 개선 사항을 밝혔다.홍 대표는 앞으로 카카오 사태를 슬기롭게 추스르고 '기술로 더 나은 세상을 만들기 위해 다시 새롭게 나아가겠다'는 카카오의 목표를 향해 전력을 다할 예정이다."
2023.01.01.,"[뉴스잇(IT)쥬]카카오 '먹통사태' 보상안 등장…KT 구현모, 대표 최종후보 낙점",https://n.news.naver.com/mnews/article/421/0006552242?sid=105,"카카오, 개인-비즈니스 파트너 구분해 '일괄 지원' 결정KT 구현모, 27:1 경선 끝에 최종 후보…3월 주총 거치면 연임[편집자주] 정보통신기술(ICT)은 어떤 산업보다 빠르게 변화합니다. 그 안의 다양한 이해관계가 맞물려 소용돌이 치는 분야이기도 하지요. ICT 기사는 어렵다는 편견이 있지만 '기승전ICT'로 귀결되는 4차 산업혁명 시대에 그 중요성은 날로 커지고 있습니다. 전문적인 '그들만의 뉴스'가 아닌 개개인의 일상 생활과도 밀접한 분야죠. 민영통신사 <뉴스1>은 한주간 국내 ICT 업계를 달군 '핫이슈'를 한눈에 제공합니다. 놓쳐버린 주요 뉴스, [뉴스잇(IT)쥬]와 함께 하실래요?박홍근 더불어민주당 원내대표가 지난 10월 24일 오전 서울 여의도 국회에서 열린 ‘카카오 불통 사태’ 피해 소상공인·자영업자 간담회에서 참석자로부터 피해사례를 전달 받은 후 기념 촬영을 하고 있다. 2022.10.24/뉴스1 ⓒ News1 이재명 기자(서울=뉴스1) 박현영 기자 = 카카오가 지난 10월15일 SK C&C 데이터센터 화재에 따른 ‘먹통 사태’의 보상안을 발표했다. 법적 책임이 없는 무료 서비스임에도 불구, 카카오는 다양한 단체와 협의체를 구성하고 논의를 지속한 끝에 보상안을 내놨다.구현모 KT 대표가 27 대 1의 경쟁률을 뚫고 차기 최고경영자(CEO) 후보로 최종 낙점됐다. 연임 도전을 선언한 지 50일, 경선을 역제안한 지 15일 만이다. 최대주주인 국민연금이 ‘황제 연임’에 대한 우려를 제기하자 이를 불식시키기 위해 구 대표는 경선을 제안했다. 경선에서도 승리하면서 구 대표는 연임의 명분을 얻게 됐다. 지난 2월 별세한 넥슨 창업주 고(故) 김정주 전 회장의 가상자산 계좌가 해킹돼 85억원어치 가상자산이 도난당한 사실이 뒤늦게 알려졌다. 이에 사망자의 가상자산은 제도가 없어 보호받지 못한다는 지적이 나오면서 논란이 일었다. 카카오 판교 아지트◇법적 책임 없어도…'먹통 사태' 피해 보상안 내놓은 카카오카카오는 지난달 29일 '1015 피해지원 협의체'에서 수립한 SK C&C 데이터센터 화재에 따른 서비스 장애 피해지원 계획을 발표했다.이를 위해 카카오는 협의체와 함께 카카오 공식 채널을 통해 접수된 10만5116건 중 카카오 계열사 접수 건을 제외한 피해 사례 8만7195건을 모두 분석했다.피해 사례 대부분은 먹통 사태와 피해 간 뚜렷한 인과성을 찾기 어려웠다. 이에 카카오는 직접적인 피해가 큰 경우만 별도 과정을 거쳐 개별 지원하기로 하고, 그 밖의 경우는 사회적 책임 차원의 일괄 지원을 결정했다. 피해 지원은 카카오 서비스를 이용하는 국내 일반 이용자와 이번 서비스 장애로 영업 상 피해를 입은 비즈니스 파트너로 구분해 진행하기로 했다. 일반 이용자에게는 이모티콘 총 3종(영구 사용 1종, 90일 사용 2종)을 제공하기로 했다. 향후 안정적인 서비스를 제공하겠다는 카카오의 약속을 담은 이모티콘이다. 피해 사실을 제출한 소상공인애게는 매출 손실 규모액에 따른 지원금을 지급하기로 했다. 소상공인 영업이익률과 대체 서비스 유무, 해당 서비스에 대한 카카오 점유율 등을 반영해 매출 손실 규모액이 30만원 이하인 경우 3만원, 30만원 초과 50만원 이하인 경우 5만원을 지원한다. 50만원 초과 피해 사례에 대해서는 협의체 검토 및 피해 입증 과정을 통해 추가 지원을 고려할 예정이다.보상안과 관련해 협의체에 참여한 김기홍 소상공인연합회 감사는 ""법의 논리를 들이대며 피해보상 여부를 다투지 않고, 소상공인 피해에 공감하며 경제적 약자를 위한 사회적 책임을 외면하지 않았기에 오늘의 합의에 이를 수 있었다""고 말했다.구현모 KT 대표가 7일 오후 서울 송파구 소피텔 앰배서더 서울에서 열린 ‘디지털 시민 One-Team’ 출범식에서 인사말을 하고 있다. (KT 제공) 2022.12.7/뉴스1◇KT 구현모, 27:1 뚫고 '경선 레이스' 완주경선 요구라는 승부수를 던진 구현모 KT 대표가 차기 최고경영자(CEO) 최종 후보로 낙점됐다. 구 대표는 지난 11월 8일 연임 도전을 선언했다. 이후 KT대표이사후보심사위원회는 구 대표를 '연임 적격'으로 판단했다. 그러나 변수가 있었다. 최대주주인 국민연금이 소유분산기업의 지배구조에 대한 우려를 제기했다. 소유분산기업이란 공기업에서 민영화됐거나 막대한 공적자금이 투입된 '주인 없는 기업'을 일컫는다. KT 역시 이에 해당한다. 김태현 국민연금 이사장은 기자간담회에서 ""소유분산기업이 대표이사나 회장 선임 및 연임 과정에서 현직자 우선 심사와 같은 내부인 차별, 외부 인사 허용 문제가 쟁점이 되고 있다""며 이를 위한 기준이 마련되지 않았다고 지적한 바 있다. 이같은 우려를 인식한 구 대표는 복수 후보까지 차기 CEO 후보군으로 심사하는 경선을 제안했다. KT 지배구조위원회는 최근 대표이사 후보로 거론된 인사를 비롯해 14명의 사외 인사와 내부 후계자 양성 프로그램에서 검증된 13명의 사내 후보자에 대한 대표이사 적격 여부를 검토해 심사 대상자들을 선정했다. 이후 KT 대표이사후보심사위원회가 총 7차례 심사 과정을 거쳐 구 대표를 차기 대표 최종 후보로 확정했다. 연임을 위한 '9부능선'은 넘었지만, 국민연금의 반발이 변수가 될 전망이다. 국민연금은 구 대표가 CEO 최종 후보로 낙점된 이후 ""경선의 기본 원칙에 부합하지 않는다""며 사실상 반대 의견을 표했다. 이에 구 대표는 ""경쟁을 하겠다라는 게 제 기본적인 생각이었고 그 생각은 지금도 변함이 없다""고 밝혔다. 한편 구 대표가 연임을 최종 확정하기 위해선 오는 3월 주주총회를 거쳐야 한다.김정주 넥슨 창업자 (넥슨 제공) ⓒ 뉴스1◇故 김정주 코인 계좌 해킹…사망자 가상자산, 보호 못 받아사망자의 가상자산은 보호받지 못한다는 지적이 제기됐다. 지난 2월 별세한 넥슨 창업주 고(故) 김정주 전 회장의 가상자산 계좌가 해킹을 당해 85억원치 가상자산을 탈취 당한 사실이 뒤늦게 알려지면서다.가상자산 거래소 코빗은 지난 6월 김 전 회장의 계좌에서 거래가 발생한 것을 수상하게 여겨 수사기관에 이를 알렸다. 수사 결과 해킹 범죄 조직인 장모 씨 등은 지난 5월 유심(USIM)을 불법 복제하는 방식을 사용, 코빗에 개설된 김 전 회장의 계좌에 침투한 것으로 드러났다. 이후 이들은 총 27차례에 걸쳐 85억원 규모에 달하는 비트코인(BTC), 이더리움(ETH), 아발란체(AVAX) 등을 탈취했다. 탈취한 가상자산은 타인의 지갑으로 전송했다. 이에 지난달 서울동부지법은 장 씨에 대한 1심 재판에서 징역 6년을, 공범 최모 씨에게는 징역 1년 6개월을 선고했다.이번 사건이 수면 위로 드러나게 된 데는 코빗의 최대주주가 넥슨 지주사 NXC인 영향이 컸다. 김 전 회장의 가상자산이 코빗에 보관돼 있을 확률이 높으므로 해커의 표적이 되기 쉬웠고, 코빗 역시 해킹 사실을 파악하기 수월했을 것이란 추측이다. 그러나 이는 다른 사망자의 경우엔 해당하지 않는다. 가상자산을 보유한 사람이 사망하더라도, 유족들이 이를 거래소에 알리지 않는 한 해당 자산은 보호받지 못한다. 이는 '상속인 금융 거래 조회' 서비스 대상에서 가상자산 거래소가 제외돼 있기 때문이다. 은행 등 금융기관의 경우, 유족이 금융당국에 '상속인 금융 거래 조회'를 신청하면 금융기관에 있는 사망자의 재산을 일괄 조회할 수 있다. 금융기관들은 사망 사실을 통보받은 후 계좌를 동결해 재산을 보호한다. 반면 가상자산 거래소는 조회 서비스 대상이 아니다. 거래소에 가상자산을 보관해둔 사람이 사망할 경우, 유족이 일일이 거래소에 이를 통보해야 한다. 만약 유족이 사망자의 가상자산 보유 사실을 모른다면 사망자의 가상자산은 보호받지 못한다. 이에 사망자의 가상자산도 이 같은 조회 서비스 대상에 포함하거나, 보호 방안을 마련해야 한다는 지적이 나온다. 현재는 거래소들이 이상거래 탐지 시스템 등을 통해 간접적으로 해킹을 예방할 수 있을 뿐, 사망자의 가상자산을 일괄적으로 보호하기는 힘든 실정이다."
2023.01.01.,카카오 전기택시 1만여대로 확대…'친환경' 가속,https://n.news.naver.com/mnews/article/011/0004140011?sid=105,"작년 정부 목표 보급량 절반 기여기업과 차량관리·충전 제휴 늘리고배차 서비스 등 기사 편의성 높여카카오모빌리티 전기택시. 사진 제공=카카오모빌리티[서울경제] 카카오모빌리티가 자사 플랫폼에서 서비스되는 전기택시 수를 크게 늘리는 등 친환경 경영에 속도를 내고 있다. 지난해 골목상권 침해 논란을 겪은 후 이미지 쇄신을 위해 ESG(환경·사회·지배구조) 경영을 강화하는 가운데, 업계 상생에 이어 친환경 실현에도 적극적으로 나서겠다는 포석이다.1일 정보기술(IT) 업계에 따르면 카카오모빌리티는 이날까지 가맹택시(카카오T블루 등)와 프로멤버십(택시기사 대상 유료 서비스) 회원 택시를 합쳐 약 1만여대를 전기택시로 전환했다. 지난해 초 2000대의 5배 이상이다. 환경부는 지난해 초 ‘무공해 자동차 전환 가속화 방안’을 통해 전기택시를 연말까지 누적 2만 대까지 늘리겠다고 했다. 이 중 절반 이상을 카카오모빌리티가 기여한 셈이다.카카오모빌리티는 지난해 3월부터 가맹·프로멤버십 택시 기사 대상으로 전기택시 구매 지원 프로그램을 시작했다. 기아(구매보조금·물품비), GS칼텍스(급속충전), LG에너지솔루션(배터리 관리), 매니지온(홈충전기) 등과 제휴해 정부와 별개로 추가적인 전기택시 구매·관리를 지원한다. 전기차 충전소 제휴 확대, 전기차의 운행 가능 거리를 인공지능(AI)으로 계산하고 이에 맞게 배차해주는 AI 전기택시 배차 서비스 등 추가 지원방안도 검토 중이다.카카오모빌리티는 이를 통해 1대당 연간 10톤(t)의 이산화탄소 감축 뿐 아니라, 유가 상승과 맞물려 늘어난 택시기사들의 전기택시 수요를 겨냥해 업계 상생까지 실현하겠다는 구상을 하고 있다. 회사 관계자는 “정부의 전기택시 보급 활성화에 적극 동참하고 택시기사의 편의성 증대에 기여하기 위한 다양한 지원방안을 모색하고 있다”고 말했다.이처럼 적극적인 전기택시 전환 지원은 지난해 골목상권 침해와 매각 논란을 겪은 후 이용자와 업계 파트너의 신뢰를 회복하기 위한 ESG 강화 계획의 하나로 풀이된다. 매각 철회 후 카카오모빌리티는 택시기사 의료비 지원 등에 쓰일 100억 원 규모의 ‘모빌리티 종사자 상생기금’을 조성하고, 플랫폼 최초로 대리운전노조와 단체교섭해 대리기사 처우 개선을 약속했다. 최근에는 회사의 포괄임금제 폐지도 결정했다."
2023.01.01.,"카카오내비, 작년 12월 '인천공항' 최다 방문",url없음,<네이버 기사 없음>
2023.01.01.,"[브랜드평판] 전자결제 상장기업 순위, 1위 다날 2위 카페24 3위 카카오페이",url없음,<네이버 기사 없음>
2023.01.01.,경남마약퇴치운동본부 카카오톡 이모티콘 공모 시상,url없음,<네이버 기사 없음>
2023.01.01.,"무료 서비스에도 보상 나선 카카오, IT장애 보상 전례 될까",url없음,<네이버 기사 없음>
2023.01.01.,"[2023 전망] 네이버·카카오, 경기침체에도 투자 확대...서비스 역량 강화 초첨",url없음,<네이버 기사 없음>
2023.01.01.,카카오뱅크 대차잔고 54만주 규모 급증…공매도 거래량과 주가는?,url없음,<네이버 기사 없음>
