기사날짜,기사제목,네이버 뉴스 url,기사내용
2021.04.05.,카카오메이커스 제품 사면 나무 한 그루 기부..ESG,https://n.news.naver.com/mnews/article/014/0004614371?sid=105,"카카오메이커스 ‘탄소중립 숲 조성 프로젝트’ 가동  [파이낸셜뉴스] 카카오커머스는 자사 주문 생산 플랫폼 카카오메이커스를 통해 ‘탄소중립 숲 조성 프로젝트(숲 프로젝트)’를 진행한다고 5일 밝혔다. 식목일을 맞이해 ESG(친환경, 사회적책임, 지배구조 개선) 경영 일환으로 소비자 참여형 친환경 활동에 나선 것이다.   카카오메이커스는 이번 프로젝트를 위해 ‘나무가 자라는 머그컵’, ‘탄생목 패브릭 포스터’를 출시했다. 카카오메이커스 이용자는 누구나 해당 상품을 주문함으로써 숲 프로젝트에 참여할 수 있다. 두 제품 모두 주문 후 생산하는 방식으로 판매되며, 주문가능일은 오는 12일까지다.   카카오메이커스는 머그컵 2개가 팔릴 때마다 나무 한 그루를, 패브릭 포스터는 1개당 나무 한 그루씩을 적립해 나무 심기 사업에 기부한다. 이용자의 참여로 적립된 나무는 강원도 정선의 숲 조성을 위해 심어질 예정이다. 또 숲에 세워지는 현판에는 숲 조성에 참여한 제품 구매자들의 이름을 각인, 참여의 의미와 가치도 함께 기록된다.    카카오메이커스 '나무가 자라는 머그컵'. 카카오커머스 제공 ‘나무가 자라는 머그컵’은 총 4종이다. 온도변화에 따라 색이 달라지는 변색 머그컵이다. 특수 코팅된 세라믹 머그컵에 따뜻한 음료를 부으면 서서히 소나무, 벚나무, 은행나무, 단풍나무 등 나무 일러스트가 나타난다.   ‘탄생목 패브릭 포스터’는 ‘366일 탄생화’ 저자 김민선(날마다그림) 작가 작품을 활용한 제품이다. 1월부터 12월까지 열두 그루의 탄생목이 그려져 있어 생일축하 선물이나 특별한 날을 추억하는 선물로 꼽힌다.   카카오메이커스 관계자는 “카카오메이커스에서는 주문생산 방식뿐 아니라 자체 PB 브랜드인 메이커스프라임을 통해 친환경 제품을 선보이는 등 환경 보호에 동참하고 있다”며 “식목일을 맞아 카카오메이커스와 함께 평소 직접 하기 어려운 나무 심기에 많은 사람들이 동참해주길 바란다”고 강조했다.   한편, 카카오메이커스는 트리플래닛과 이번 프로젝트를 함께한다. 트리플래닛은 강원도 산불피해 복구, 미세먼지 없는 교실을 만들기 위한 숲 조성 캠페인 등을 진행하는 소셜벤처이다. 카카오메이커스가 참여하는 이번 프로젝트는 어린나무를 심어 향후 30~50년 간 이산화탄소 흡수량을 높여 탄소 중립 달성에 기여할 수 있도록 진행될 예정이다.  #트리플래닛 #카카오커머스 #카카오메이커스   elikim@fnnews.com 김미희 기자   ▶ 헉! 소리나는 스!토리 뉴스 [헉스]▶ '아는 척'하고 싶은 당신을 위한 [두유노우]▶ 날로먹고 구워먹는 금융이슈 [파인애플]  ※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
2021.04.05.,중소기업이 카카오워크 도입하면 정부가 이용료 80% 지원,https://n.news.naver.com/mnews/article/001/0012306876?sid=105,"카카오워크, 중소기업 클라우드 바우처 사업 그룹웨어 서비스로 선정[카카오엔터프라이즈 제공. 재판매 및 DB 금지]    (서울=연합뉴스) 이효석 기자 = 앞으로 중소기업은 업무 협업 툴로 '카카오워크'를 도입하면 정부 지원금으로 서비스 이용료의 80%를 지원받을 수 있다.    카카오엔터프라이즈는 종합 업무 플랫폼 카카오워크가 중소기업 클라우드 서비스 이용 지원(바우처) 사업 공급 서비스로 선정됐다고 5일 밝혔다.    이 사업은 과학기술정보통신부와 정보통신산업진흥원이 중소기업의 디지털 전환을 촉진하고 클라우드 환경을 적극적으로 도입하도록 장려하는 사업이다.    정부는 1개 기업당 최대 1천550만원을 지원한다. 지원금은 전사적 자원 관리(ERP), 그룹웨어(메신저·영상회의), 보안 등 서비스 도입에 쓸 수 있다.    카카오워크는 이중 그룹웨어 부문을 제공하는 서비스로 선정됐다.    중소기업은 카카오엔터프라이즈나 카카오워크 홈페이지에서 이용료 지원을 신청할 수 있다.    카카오워크는 인공지능(AI)·통합검색 등의 기능을 갖춘 메신저 기반 업무 툴이다. 출시 6개월여 만에 13만곳이 넘는 기업·조직이 업무 공간을 개설했다.    hyo@yna.co.kr▶네이버에서도 뉴스는 연합뉴스[구독 클릭]▶[팩트체크] 서울 소상공인 평균 월세 얼마?▶제보하기<저작권자(c) 연합뉴스(https://www.yna.co.kr/), 무단 전재-재배포 금지>"
2021.04.05.,100일 만에 이용자 1천만 명…카카오 지갑 '뭔가 있다',https://n.news.naver.com/mnews/article/215/0000948683?sid=101,"인증서·신분증·자격증 등 카카오톡에 보관·관리[한국경제TV 양현주 기자]카카오톡 지갑 이용자가 1천만 명을 돌파했다.카카오는 출시 3개월 반 만에 카카오톡 지갑에서 카카오 인증서를 발급한 이용자가 1천만 명을 넘어섰다고 5일 밝혔다.이는 민간 인증 서비스 중 가장 빠른 가입자 증가 속도다.카카오톡 지갑은 인증서, 신분증, 자격증 등을 카카오톡에 보관, 관리할 수 있는 공간이다.현재 ▲카카오 인증서 ▲QR 기반 전자출입명부의 QR 체크인 서비스 ▲한국산업인력공단의 국가 기술 자격증 495종 ▲멜론 VIP 등급 카드 등을 카카오톡 지갑에서 확인할 수 있다.지갑 내 카카오 인증서로 회원 가입이나 별도 앱 설치 과정 없이 국세청 홈택스와 행정안전부 정부 24 서비스 로그인, 국가권익위원회 국민신문고 등을 쉽고 빠르게 이용할 수 있다.카카오 인증서로 2021년 1월부터 현재까지 국세청 홈택스와 정부 24, 국민신문고 간편 인증 로그인을 한 횟수는 총 1,600만 건에 달한다.카카오 인증서로 현재 주민등록등초본 제·증명 발급 등 정부 24의 모든 서비스를 이용할 수 있고, 하반기 중 모바일 정부 24도 카카오 인증서로 로그인할 수 있게 될 예정이다.행정안전부는 공통기반 간편 서명을 적용한 공공기관 웹사이트를 지속적으로 확대할 계획으로, 카카오 인증서 활용처는 꾸준히 늘어날 전망이다.카카오는 4월 중 카카오톡 더보기 탭에 '지갑 홈'을 추가할 예정이다.지갑 홈에서 인증서, 지갑 QR, 자격증, 사원증, QR 체크인 등 내가 보유한 디지털 ID를 한눈에 볼 수 있다.카카오 인증서 사용처와 사용 이력, 지갑 관련 프로모션 등도 쉽게 확인할 수 있다.카카오 인증서의 지갑 QR을 활용해 무인점포 출입 시 출입 인증을 할 수 있는 서비스도 4월 중 선보인다.카카오는 앞으로 공공기관, 일반 기업 등 카카오 인증서의 파트너를 확대하고 자격 증명 서비스의 활용 분야도 늘린다.또한 ▲카카오 TV 동영상/라이브 입장 ▲카카오톡 오픈 채팅방 입장 ▲카카오톡 채널 메시지 발송 등 다양한 서비스들과 자격 증명 서비스를 연동할 예정이다.현재 카카오 직원들의 모바일 사원증에 적용된 스마트폰 무선 통신(NFC/BLE)을 활용한 출입문 열기나 복합기 이용 등 보안이 적용된 환경에서 자격 증명을 활용하는 기능도 연내 외부 파트너들에게 제공할 계획이다.안진혁 카카오 지갑 사업실 실장은 ""앱 설치나 회원 가입 등 번거로운 절차 없이 쉽고 빠르게 연말정산 등 일반적이고 보편적인 상황에서 인증을 이용할 수 있는 점이 이용자들에게 높은 평가를 받았다고 생각한다""며 ""앞으로도 누구나 생활 속 인증이 필요할 때 카카오톡 지갑을 떠올리고 이용할 수 있도록 지속적으로 활용처를 늘리고 기능을 고도화할 것""이라고 밝혔다양현주기자 hjyang@wowtv.co.kr▶ 네이버 홈에서 [한국경제TV] 채널 구독하기 [생방송보기]▶ 대한민국 재테크 총집결! - [증권 / 주식상담 / 부동산]ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
2021.04.05.,"""접근성 좋다"" 카카오톡 지갑, 이용자 '1000만 명' 돌파",https://n.news.naver.com/mnews/article/629/0000075596?sid=105,"카카오톡 지갑에서 카카오 인증서를 발급한 이용자가 지난 4일 기준 1000만 명을 넘어섰다. /카카오 제공홈택스, 정부24, 국민신문고서 카카오 인증서 간편 로그인 1600만 건 이용[더팩트│최수진 기자] 카카오톡 지갑 이용자가 1000만 명을 돌파했다. 출시 3개월 만의 성과로, 민간 인증 서비스 중 가장 빠른 가입자 증가 속도다.5일 카카오는 카카오톡 지갑에서 카카오 인증서를 발급한 이용자가 지난 4일 기준 1000만 명을 넘어섰다고 밝혔다. 카카오톡 지갑은 인증서, 신분증, 자격증 등을 카카오톡에 보관, 관리할 수 있는 공간이다. 현재 △카카오 인증서 △QR 기반 전자출입명부의 QR 체크인 서비스 △한국산업인력공단의 국가기술 자격증 495종 △멜론 VIP 등급카드 등을 카카오톡 지갑에서 확인할 수 있다.지갑 내 카카오 인증서로 회원 가입이나 별도 앱 설치 과정 없이 국세청 홈택스와 행정안전부 정부 24 서비스 로그인, 국가권익위원회 국민신문고 등을 쉽고 빠르게 이용할 수 있다.카카오 인증서로 지난 1월부터 현재까지 국세청 홈택스와 정부24, 국민신문고 간편 인증 로그인을 한 횟수는 총 1600만 건에 달한다.카카오는 이달 중 카카오톡 더보기 탭에 '지갑 홈'을 추가한다. 지갑 홈에서 인증서, 지갑 QR, 자격증, 사원증, QR체크인 등 내가 보유한 디지털 ID를 한눈에 볼 수 있다. 카카오 인증서 사용처와 사용 이력, 지갑 관련 프로모션 등도 쉽게 확인할 수 있다. 카카오 인증서의 지갑 QR을 활용해 무인점포 출입 시 출입 인증을 할 수 있는 서비스도 4월 중 선보인다.카카오는 앞으로 공공기관, 일반 기업 등 카카오 인증서의 파트너를 확대하고 자격 증명 서비스의 활용 분야도 늘린다. △카카오TV 동영상/라이브 입장 △카카오톡 오픈채팅방 입장 △카카오톡 채널 메시지 발송 등 다양한 서비스들과 자격 증명 서비스를 연동할 예정이다.현재 카카오 직원들의 모바일 사원증에 적용된 스마트폰 무선 통신(NFC/BLE)을 활용한 출입문 열기나 복합기 이용 등 보안이 적용된 환경에서 자격 증명을 활용하는 기능도 연내 외부 파트너들에게 제공할 계획이다.안진혁 카카오 지갑사업실장은 ""앱 설치나 회원 가입 등 번거로운 절차 없이 쉽고 빠르게 연말정산 등 일반적이고 보편적인 상황에서 인증을 이용할 수 있는 점이 이용자들에게 높은 평가를 받았다고 생각한다""며 ""앞으로도 누구나 생활 속 인증이 필요할 때 카카오톡 지갑을 떠올리고 이용할 수 있도록 지속적으로 활용처를 늘리고 기능을 고도화할 것""이라고 밝혔다.jinny0618@tf.co.kr - BTS 공연 비하인드 사진 얻는 방법? [팬버십 가입하기▶]   - 내 아이돌 순위는 내가 정한다! [팬앤스타 투표하기] 저작권자 ⓒ 특종에 강한 더팩트 & tf.co.kr 무단 전재 및 재배포 금지"
2021.04.05.,"카카오커머스, 지난해 매출 5735억원…전년비 두배로 '껑충'",https://n.news.naver.com/mnews/article/421/0005268759?sid=105,"카카오커머스 홍보 이미지 (카카오커머스 홈페이지 갈무리) © 뉴스1(서울=뉴스1) 송화연 기자 = 카카오 커머스(상거래) 사업 매출이 전년대비 2배 가까이 뛰어오른 5000억원을 넘어섰다.5일 카카오의 커머스 자회사 카카오커머스는 감사보고서를 통해 지난해 매출 5735억원3362만원을 기록했다고 공시했다. 이는 전년 매출액(2961억5444만원) 대비 93% 이상 급증한 수치다.카카오커머스의 지난해 영업이익은 전년대비 114% 증가한 1595억4936만원, 당기순이익은 전년대비 114% 증가한 1232억9625만원을 기록했다. 카카오커머스는 카카오톡 기반 커머스 사업인 '카카오톡 선물하기', '카카오톡 쇼핑하기', '카카오스타일' 등을 운영하고 있다.hwayeon@news1.kr▶ 네이버 메인에서 [뉴스1] 구독하기!▶  뉴스1&BBC 한글 뉴스 ▶  터닝포인트 2021 © 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지"
2021.04.05.,[이슈IN]‘왓패드’ 인수하니 ‘래디쉬’ 눈독...웹소설로 맞붙는 네이버·카카오,https://n.news.naver.com/mnews/article/293/0000034130?sid=105,"카카오가 영문 웹소설 플랫폼 ‘래디쉬’(Radish) 인수를 추진한다. 지난 1월 네이버가 세계 최대 웹소설 플랫폼 ‘왓패드’(Wattpad)를 인수하자 후발주자인 래디쉬 인수를 통해 대응에 나선 것으로 풀이된다. 해외 시장 공략을 위해 지적재산(IP)을 확보하기 위한 두 회사의 치열한 경쟁이 예고되고 있다.5일 정보기술(IT)업계에 따르면 카카오는 자회사 카카오엔터테인먼트(이하 카카오엔터)를 통해 래디쉬 경영권을 인수하는 방안을 검토 중이다. 인수금액은 약 4000억원으로 알려졌다.4000억원에 인수 논의…‘래디쉬’ 뭐기에래디쉬 운영사인 래디쉬미디어는 한국인인 이승윤 대표가 2016년 2월 미국에서 창업한 웹소설 플랫폼 기업이다. 카카오엔터테인먼트의 전신인 카카오페이지는 지난해 7월 소프트뱅크벤처스 등과 공동으로 래디쉬에 총 760억원의 투자를 진행한 바 있다.래디쉬는 짧은 호흡과 빠른 전개, 모바일 특화형 웹소설을 지향하는 플랫폼이다. 주 타깃은 영미권 시장이다. 일정시간을 기다리면 무료로 볼 수 있지만 소액결제를 하면 ‘미리보기’가 가능한 부분유료화를 적용했다. 특히 웹소설 연재 주기를 단축하기 위해 할리우드식 공동창작 방식을 도입해 주목받고 있다. 작가별로 분업을 체계화한 것이 특징이다. 이를 통해 자체제작 콘텐츠인 ‘래디쉬 오리지널’을 내놓고 있다. 여기에 실리콘밸리의 모바일 게임 스튜디오의 데이터 기반 제작방식과 퍼포먼스 마케팅을 접목시켜, 독자 반응에 따라 연재 방향을 빠르게 바꿔 나가고 있다.매출은 상승세다. 2020년 매출은 220억원으로 전년대비 10배 상승했다. 전체 매출의 90%가 자체제작 IP에서 나오고 있다. 월간활성이용자수(MAU)는 100만명으로 알려졌다. 업계 관계자는 “래디쉬는 도서 앱 매출 3위에서 5위 사이를 오르내린다. 이용자 규모는 왓패드가 크지만, 매출은 더 높은 수준”이라고 말했다. 카카오엔터는 이 같은 잠재력에 주목한 것으로 보인다.해외에서 웹툰은 아직 낯선 분야다. 반면 웹소설은 친근하게 여기고, 이용자 수도 많은 편이다. 넷플릭스의 <키싱부스> 등도 웹소설이 원작이다. 카카오와 네이버가 글로벌 웹소설 플랫폼들에서 가능성을 읽고 있는 이유다.카카오 ‘글로벌행(行)’ 다리 놔 줄까이번 래디쉬 인수는 카카오의 해외 진출을 위한 발판이 될 거라는 분석도 나온다. 네이버는 일찍이 라인으로 해외 시장을 뚫었다. 스노우·제페토 등 글로벌 서비스도 잇따라 성공시켰다. 반면 카카오는 ‘내수용’이라는 꼬리표를 떼지 못하고 있다. 유일하게 카카오재팬이 일본에서 선보인 만화 서비스 ‘픽코마’가 유의미한 성과를 내는 데 성공했다. 2019년 101억원의 당기순손실을 봤지만, 지난해는 143억원을 거두며 흑자전환했다. 해외 진출이 숙원사업인 카카오가 IP사업에 힘을 싣는 배경이다.웹소설·웹툰 IP는 드라마·영화·게임·애니메이션 등 다른 장르로 확장될 수 있어 활용도가 높다. 넷플릭스를 비롯한 온라인동영상서비스(OTT) 업체에게 IP를 판매해 수익을 창출하기도 한다. 이미 독자로부터 검증 받은 이야기인데다가 기본 시청층으로 팬덤을 흡수할 수 있다는 게 강점이다. 카카오페이지 IP로 제작된 영화 <승리호>는 넷플릭스에서 영화 순위 1위를 차지했다. 네이버웹툰을 원작으로 한 넷플릭스 오리지널 <스위트홈>은 첫 공개 이후 4주 만에 세계 시장에서 누적 시청 2200만회를 기록했다. 지난달 4일 카카오는 본격적으로 IP사업을 키우기 위해 카카오페이지와 카카오M 합병을 통해 카카오엔터를 출범시켰다. 자회사들이 가진 콘텐츠를 한 데 모아 글로벌 엔터테인먼트 기업으로 키우겠다는 것이다. 카카오페이지의 웹툰·웹소설이 가진 IP를 원료 삼아 카카오M이 음악·드라마 등 콘텐츠를 제작하고, 멜론·카카오TV등에 유통해 세계 시장에서 차별화된 경쟁력을 갖추겠다는 복안이다. 래디쉬 인수로 영미권 IP를 확보하게 되면 카카오의 해외 진출은 보다 용이해질 것으로 보인다.한편 같은 그림을 그리는 네이버는 카카오보다 발빠른 행보를 보이고 있다. 이미 지난해 해외 시장 공략을 위해 한국·미국·일본의 웹툰 사업을 할리우드에 위치한 미국 법인이 총괄하는 식으로 사업 구조를 재편했다.인수·투자도 공격적으로 전개 중이다. 지난 1월에는 약 6억달러(6600억원)에 세계 최대 규모 웹소설 플랫폼인 왓패드를 인수했다. 전세계 9000만명이 매달 230억분씩 왓패드를 이용하는 것으로 알려졌다. 개방형 창작이 가능해 ‘스토리텔링계의 유튜브’라는 별명이 붙은 곳으로, 여기서 활동하는 창작자만 500만명에 달한다. 이어 2월에는 글로벌 웹툰 플랫폼 ‘태피툰’ 운영사 콘텐츠퍼스트에 약 334억원 규모를 투자하면서 1대 주주로 올라섰다. 태피툰은 미국 등 90여개국에서 매출 2위를 기록하고 있다. 1위는 네이버웹툰 차지다. 네이버웹툰의 전세계 월간활성사용자수(MAU)는 2020년 기준 7200만명이다.김인경 기자(shippo@bloter.net)저작권자 ⓒ(주)블로터앤미디어, 무단 전재 및 재배포 금지"
2021.04.05.,"대신증권 ""카카오, 신고가 경신 전망…목표가↑""",https://n.news.naver.com/mnews/article/003/0010429521?sid=101,"[서울=뉴시스] 이정필 기자 = 대신증권은 2일 카카오의 신고가 경신이 이어질 것으로 전망하면서 목표주가를 60만원으로 상향하고 투자의견 매수를 유지했다.이민아 대신증권 연구원은 ""1분기 매출액 1조2600억원, 영업이익은 1608억원으로 컨센서스 1560억원을 소폭 상회할 전망""이라며 ""모빌리티는 비수기에도 불구하고 카카오 T 블루 택시 대수 증가 효과로 전 분기 대비 2.7% 성장할 전망""이라고 분석했다.이어 ""선물하기, 모빌리티 및 외부 가맹점 결제액 증가로 페이 매출 역시 전 분기 대비 6.7% 성장이 예상된다""면서 ""카카오페이지와 픽코마 등 유료 서비스 매출도 성장을 지속할 것""이라고 예측했다.이 연구원은 ""2분기 성수기 진입으로 실적 성장 더욱 두드러질 전망""이라며 ""카카오엔터테인먼트와 카카오엔터프라이즈, 그라운드X 등 신사업 성장 본격화에 주목할 필요가 있다""고 설명했다.☞공감언론 뉴시스 roman@newsis.com▶ 네이버에서 뉴시스 구독하기▶ K-Artprice, 유명 미술작품 가격 공개▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기<ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지>"
2021.04.05.,"4·3유적, 카카오맵으로 편리하게 찾는다",https://n.news.naver.com/mnews/article/005/0001427577?sid=102,"제주4·3연구소, ㈜카카오에 4·3유적 콘텐츠 제공다음갤러리에서는 사진으로 보는 4·3 온라인 전시다음(daum) 갤러리에 실린 제주4·3 콘텐츠의 일부. 스마트폰만 있으면 누구나 쉽게 4·3유적지를 찾아갈 수 있다. 사진을 통해 4·3의 전개 과정을 살펴보는 코너도 마련했다.㈔제주4·3연구소가 4·3 73주년을 맞아 카카오맵과 다음(daum) 갤러리 등 온라인을 통해  4·3유적 콘텐츠를 선보이고 있다.이번 사업은 4·3에 대해 깊이 알고자 하는 대중적 요구가 높아짐에 따라 4·3유적을 조사하고 있는  제주4·3연구소가 ㈜카카오에 콘텐츠를 제공하면서 성사됐다.카카오맵에는 현재까지 주요 4·3유적 29곳이 등록됐다. 이 가운데 10곳을 묶은 4·3유적 콘텐츠 테마 지도에는 4·3의 도화선이 된 1947년 3·1사건 현장인 관덕정 광장을 시작으로, 4·3 이후 피해자들의 삶이 어떠했는지를 짐작할 수 있는 무명천 할머니 삶터 등이 소개됐다.다음(daum) 갤러리에서는 ‘화사한 봄꽃길따라 4·3의 아픈 역사따라, 제주 4·3유적’이라는 제목으로 온라인 전시가 시작됐다. 4·3발발에서 초토화 작전 시기까지 사진을 통해 제주 4· 3의 아픈 역사를 살펴볼 수 있다. 4·3유적을 시기 별 주제 별로도 정리했다. 갤러리에서는 4·3유적의 현재와 과거 모습을 모두 볼 수 있다.그동안 국내 포털 지도 서비스에는 제주4·3평화공원, 너븐숭이4·3기념관 등 일부 유적만 등록돼 현장을 통해 4·3의 전체 줄기를 이해하는 데에는 한계가 있었다.허영선 제주4·3연구소장은 “연구소가 진행하는 여러 행사에서 4·3유적을 알고 싶다는 일반인들의 문의가 많았다”며 “4·3유적은 제주 전역에 걸쳐 수백 곳이 있고 이중 카카오맵 지도에는 일부만 등록됐지만 앞으로 4·3에 대한 일반의 이해를 높여나가는 데 도움이 될 것으로 기대한다”고 밝혔다.제주4·3유적 다음 갤러리 페이지뷰는 5일 현재 10만을 넘어섰다.제주=문정임 기자 moon1125@kmib.co.kr▶ 네이버에서 국민일보를 구독하세요(클릭)▶ 국민일보 홈페이지 바로가기GoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재 및 수집, 재배포금지"
2021.04.05.,"밀크 모회사, 카카오 그라운드X와 사업 제휴",url없음,<네이버 기사 없음>
2021.04.05.,"‘인사평가 논란’ 카카오, 고용노동부 근로감독 받는다",https://n.news.naver.com/mnews/article/138/0002101135?sid=105,"[디지털데일리 권하영기자] 고용노동부가 카카오에 대한 근로감독을 실시한다.   최근 블라인드 앱 익명 유서로 카카오 인사 제도 논란이 불거진 가운데, 정부가 카카오에 대해 노동관계법 위반이 의심된다고 보고 조사에 착수하는 것이다.    5일 관련업계와 정부에 따르면 고용노동부는 이달 내로 카카오에 근로감독을 실시할 예정이다. 지난 2일자로 근로감독관이 배정된 상태다.   성남고용노동지청은 “카카오 직원으로부터 근로감독 청원이 들어왔고, 청원서 내용을 검토한 결과 근로감독이 필요하다고 판단했다”고 밝혔다.   근로감독은 근로기준법을 비롯해 노동관계법 위반사항이 있다고 의심되는 뚜렷한 사유가 있을 경우 시행된다.    성남고용노동지청 관계자는 “청원 내용에 대해 필요한 자료를 카카오 측에 요청할 수 있고, 진위 여부 확인을 위해 현장 실사를 갈 수 있다”면서 “근로감독 기한이 정해진 것은 아니나 최대한 빨리 진행하려고 한다”고 말했다.   앞서 카카오의 한 직원은 지난달 23일 성남고용노동지청에 회사 인사평가 문항 관련 근로감독 실시 요청을 청원한 바 있다. 이어 해당 청원은 취소되고 다시 카카오를 대상으로 다른 안건의 근로감독 청원이 올라온 것으로 알려졌다. 성남고용노동지청 관계자는 “인사평가와는 무관하게 근로기준법 위반이 의심되는 내용의 청원”이라며 “어떤 내용인지는 밝힐 수 없다”고 말했다.    카카오는 지난 17일 직장인 익명 커뮤니티 블라인드에 ‘유서’라는 제목으로 직장내 괴롭힘을 당한 직원의 극단적 선택을 암시하는 글이 올라오면서 논란에 휩싸였다. 해당 글은 삭제됐지만 이틑날 ‘카카오의 인사평가는 살인입니다’라는 제목의 글이 올라오면서 카카오의 인사 시스템에 대한 불만들이 잇따랐다.   특히 직원 성과평가시 ‘함께 일하고 싶다’ ‘함께 일하기 싫다’ ‘상관 없다’ 등 동료평가를 수집하고 그 결과를 전사 평균값과 비교해 해당 직원에게 전달하는 사내 제도가 직원 분란을 일으킨다며 도마 위에 올랐다.   이에 카카오는 전 직원들을 대상으로 사내 인사제도 개선을 위한 태스크포스(TF) ‘길’을 출범시키는 등 진화에 나섰으나, 더딘 진행 상황으로 직원 불만이 가시지 않은 상황이다. 카카오는 지난달까지 인사제도 전반에 대한 직원 의견 수렴을 마치고 4월 초순 TF를 정식 가동할 계획이다.   <권하영 기자>kwonhy@ddaily.co.kr▶ 네이버에서 디지털데일리 채널 구독하기▶ IT정보의 즐거운 업그레이드 [딜라이트닷넷]<저작권자 © 디지털데일리 무단전재-재배포금지>"
